prioridad,fecha_chat,dias_transcurridos,tipo_cliente,productos_solicitados,intenciones,resumen_visitante,num_mensajes
🟠 ALTA,2026-01-23 02:42:15,24,Comprador de Volumen,Electricidad,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | 8 metros de cableado 14/2 | evr_1230@ hotmail.com,9
🟠 ALTA,2026-01-22 17:18:19,24,Comprador de Volumen,Madera,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Cuatro hojas de triplay 3/4,7
🟠 ALTA,2026-01-22 17:04:53,24,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | XV precio de a/c para casa mini esplit,6
🟠 ALTA,2026-01-20 00:36:58,27,Comprador de Volumen,Madera,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Un rollo de maya 40 estacas de madera 6 varrotes de 2x4x10 | No tengo coreeo | Por aqui no se puede,10
🟠 ALTA,2026-01-14 02:06:19,33,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | Me podría dar precio de loceta 45/45 | O no tengo correo,8
🟠 ALTA,2026-01-13 14:31:11,33,Comprador de Volumen,Cemento/Concreto,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | Ocupo el precio de cemento | Para pizo,8
🟠 ALTA,2026-01-11 19:40:14,35,Mayorista/Distribuidor,"Cemento/Concreto, Plomería, Varilla/Acero","busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | 2 rollos de Maya soldada | 80 tacos de cemento de 25 kilos | 10 metros de alambre recocido | 6 metros de tubo de 3 de abc | 2 codos de 45 de 3 pulgadas,19
🟠 ALTA,2025-12-29 22:39:10,48,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | Qué precio tiene el tripay de pedatillo de media | Gracias por la información,8
🟠 ALTA,2025-12-23 08:26:04,54,Comprador de Volumen,Varilla/Acero,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | Precio de  4 metros de malla galvanizada | Precio de malla galvanizada,8
🟠 ALTA,2025-12-19 23:32:59,58,Comprador de Volumen,Madera,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | elprecio de la hja de triplay cero cara de 3 cuartos | no tengo correo,9
🟠 ALTA,2025-12-10 23:44:52,67,Mayorista/Distribuidor,"Electricidad, Ferretería, Plomería, Varilla/Acero","busca_producto, cotizacion_mayoreo","Necesito una cotización de mayoreo | -1 tramo de unicanal alto cal 14-10 abrazaderas 3/4 para unicanal _10 ' de ángulo de 1""1/2 x1/8 -4 anclas expancivas de 3/8 x 2""-5 ' de solera de 1""1/4 x 1/8 | -Par de mangueras metálicas para suministro y descarga de agua ( de 3/4 x 3')-2 válvulas de paso  de 3/4 (latón)-2 niples de 3/4 x 4"" galvanizado -1 rollo de teflón -10 tramos de tubo steel de 3/3 pared gruesa-6 registros ""LB"" de 3/4-2 conectores de 3/4 para tubo pared gruesa -1 centro de carga  de 2 circuitos marca scuare D QO  para exterior-1 interruptor termomagnético  220v  40 amp scuare D QO -2 m de flexible líquid tight  de 3/4_2 conectores curbos para liquid tight 3/4_70 m de cable eléctrico  #10 color negro _35 m de cable eléctrico #12 color verde",9
🟠 ALTA,2025-12-06 18:29:25,71,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | Necesito una cotización de mayoreo | precio caja de redimix grande,9
🟠 ALTA,2025-12-03 20:44:16,74,Contratista/Constructor,"Pisos/Loseta, Varilla/Acero","busca_producto, contratista, precio","Quiero ayuda/consejo para mi obra | Calificación: 
Una pregunta sobre un precio de la malla para echar un piso",6
🟠 ALTA,2025-11-26 02:44:04,82,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | Cuanto esta el barrotes 2×4 de 8 pies | Ocupo ese precio,8
🟠 ALTA,2025-11-24 21:34:24,83,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo, precio","Necesito una cotización de mayoreo | Son 5 cubetas para impermeabilizar | SKU: 24201 | Ese es el Sku del que necesito las cubetas, quería saber si por ser 5 hay precio, y si se pueden recoger en sucursal Navarrete",10
🟠 ALTA,2025-11-20 04:15:17,88,Contratista/Constructor,No especificado,"busca_producto, contratista, cotizacion_mayoreo",Necesito una cotización de mayoreo | Te cobran llevar la compra a domicilio,6
🟠 ALTA,2025-11-16 23:37:02,91,Comprador de Volumen,Electricidad,"busca_producto, cotizacion_mayoreo, precio","Necesito una cotización de mayoreo | Cuanto vale el metro de cable de uso rudo 4x3,307mm2 | Uso rudo de 4cables dentro calibre 12 precio | Su madre",10
🟠 ALTA,2025-11-06 02:22:51,102,Mayorista/Distribuidor,"Varilla/Acero, Vigueta/Estructura","busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | 205 bloks de 12x20x4020 sementos12 varillas de 3/8x124 armex5 semenbon | Por este medio,8
🟠 ALTA,2025-11-03 17:57:08,104,Comprador de Volumen,Pisos/Loseta,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | Precios de loceta de piso lorelia gris de 36x36,6
🟠 ALTA,2025-10-31 18:53:14,107,Comprador de Volumen,Cemento/Concreto,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | Precio cemento gallo 50 kilos,6
🟠 ALTA,2025-10-30 04:31:37,109,Comprador de Volumen,Cemento/Concreto,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | Precio de cemento gris,6
🟠 ALTA,2025-10-30 02:17:24,109,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | Precio de hoja de yeso | No tengo correo,8
🟠 ALTA,2025-10-29 20:46:09,109,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | El precio de la maya para gallinero que precio tiene el rollo | No tengo correo,8
🟠 ALTA,2025-10-23 22:26:44,115,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | Nada más el precio de un barrote de 2x12x12 de pino | Aquí por el Whatsapp,8
🟠 ALTA,2025-10-21 04:12:35,118,Comprador de Volumen,Arena/Grava,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | Precio de metro y medio de grava | Puede mandarlo a mi teléfono | No me lo se,10
🟡 MEDIA,2026-02-07 22:00:51,8,Prospecto General,No especificado,"busca_producto, problema_sitio",Tengo problemas con el sitio | Quiero un saco de semenquin reparador de femento aqqui en hermosillo donde lo encuentro,8
🟡 MEDIA,2026-02-07 20:59:35,8,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-02-07 17:50:26,8,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-02-06 21:28:01,9,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-02-06 04:50:13,10,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-02-06 00:49:52,10,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-02-05 17:22:14,10,Cliente con Facturación,No especificado,"busca_producto, factura",Quiero facturar,7
🟡 MEDIA,2026-02-04 22:31:40,11,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-02-04 21:36:40,11,Cliente con Facturación,No especificado,"busca_producto, factura",Quiero facturar,8
🟡 MEDIA,2026-02-04 21:00:17,11,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-02-04 20:03:39,11,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-02-04 19:39:48,11,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,4
🟡 MEDIA,2026-02-04 18:47:22,11,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-02-04 12:58:24,11,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra. Me cotiza un rollo de pua,3
🟡 MEDIA,2026-02-04 05:05:26,12,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-02-03 21:15:10,12,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-02-02 22:27:01,13,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-02-02 21:40:25,13,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-02-02 20:50:28,13,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-02-02 19:20:45,13,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-02-01 22:47:42,14,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-02-01 22:28:42,14,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,4
🟡 MEDIA,2026-02-01 16:26:10,14,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-02-01 02:47:00,15,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-01-31 22:29:37,15,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-01-31 16:29:52,15,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Ptr,6
🟡 MEDIA,2026-01-31 04:17:07,16,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo, solo_viendo",Solo estoy viendo | Necesito una cotización de mayoreo,12
🟡 MEDIA,2026-01-31 01:12:05,16,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-01-30 23:29:19,16,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,4
